"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 10 16:24:52 GMT 2022","Wed Aug 10 16:24:52 GMT 2022","0","","tests.smallBusiness.AccountDocsAccessTest","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Wed Aug 10 16:21:05 GMT 2022","Wed Aug 10 16:21:22 GMT 2022","16803","","tests.offers.BanksOffersTest","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Wed Aug 10 16:21:23 GMT 2022","Wed Aug 10 16:21:37 GMT 2022","14146","","tests.mortgage.MortgagePaymentsGraphTest","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"passed","Wed Aug 10 16:26:01 GMT 2022","Wed Aug 10 16:26:17 GMT 2022","15619","","tests.deposit.DepositPositiveValuesTest","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Wed Aug 10 16:23:30 GMT 2022","Wed Aug 10 16:24:29 GMT 2022","58825","","tests.officesAndAtms.ATMCheckoutTest","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"skipped","Wed Aug 10 16:22:34 GMT 2022","Wed Aug 10 16:22:34 GMT 2022","0","","tests.onlineBank.OnlineBankTermsAndPolicyTest","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"passed","Wed Aug 10 16:23:09 GMT 2022","Wed Aug 10 16:23:30 GMT 2022","20818","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Wed Aug 10 16:21:37 GMT 2022","Wed Aug 10 16:21:51 GMT 2022","13821","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"passed","Wed Aug 10 16:25:11 GMT 2022","Wed Aug 10 16:25:28 GMT 2022","17394","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Wed Aug 10 16:22:34 GMT 2022","Wed Aug 10 16:22:51 GMT 2022","17129","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"passed","Wed Aug 10 16:25:46 GMT 2022","Wed Aug 10 16:26:01 GMT 2022","15555","","tests.deposit.DepositPositiveValuesTest","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Wed Aug 10 16:24:29 GMT 2022","Wed Aug 10 16:24:52 GMT 2022","22850","","tests.smallBusiness.AccountDocsAccessTest","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"passed","Wed Aug 10 16:24:52 GMT 2022","Wed Aug 10 16:25:11 GMT 2022","18737","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"passed","Wed Aug 10 16:22:02 GMT 2022","Wed Aug 10 16:22:13 GMT 2022","10968","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"passed","Wed Aug 10 16:22:13 GMT 2022","Wed Aug 10 16:22:34 GMT 2022","20889","","tests.onlineBank.OnlineBankTermsAndPolicyTest","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Wed Aug 10 16:25:28 GMT 2022","Wed Aug 10 16:25:46 GMT 2022","17316","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Wed Aug 10 16:22:51 GMT 2022","Wed Aug 10 16:23:09 GMT 2022","18287","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"passed","Wed Aug 10 16:21:51 GMT 2022","Wed Aug 10 16:22:02 GMT 2022","11382","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
