"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 14:44:15 GMT 2022","Mon Aug 08 14:44:36 GMT 2022","21628","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","okUrlTest","okUrlTest",""
"passed","Mon Aug 08 14:44:59 GMT 2022","Mon Aug 08 14:45:19 GMT 2022","19502","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","tgUrlTest","tgUrlTest",""
"passed","Mon Aug 08 14:46:01 GMT 2022","Mon Aug 08 14:46:38 GMT 2022","36659","","tests.ATMCheckoutTest","","tests.ATMCheckoutTest","atbNotEmptyCheck","atbNotEmptyCheck",""
"passed","Mon Aug 08 14:45:19 GMT 2022","Mon Aug 08 14:45:28 GMT 2022","9398","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkTermValue","checkTermValue",""
"passed","Mon Aug 08 14:45:28 GMT 2022","Mon Aug 08 14:45:43 GMT 2022","14477","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkDepositValue","checkDepositValue",""
"passed","Mon Aug 08 14:45:43 GMT 2022","Mon Aug 08 14:46:01 GMT 2022","18614","","tests.orderVirtualCardTest","","tests.orderVirtualCardTest","isSmsCodeReadyToInput","isSmsCodeReadyToInput",""
"broken","Mon Aug 08 14:44:01 GMT 2022","Mon Aug 08 14:44:14 GMT 2022","13865","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","tariffPDFAccessTest","tariffPDFAccessTest",""
"passed","Mon Aug 08 14:46:38 GMT 2022","Mon Aug 08 14:46:52 GMT 2022","14452","","tests.BanksOffersTest","","tests.BanksOffersTest","banksOffersCountCheck","banksOffersCountCheck",""
"passed","Mon Aug 08 14:43:43 GMT 2022","Mon Aug 08 14:44:00 GMT 2022","17574","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","currencyTransferAccessTest","currencyTransferAccessTest",""
"passed","Mon Aug 08 14:46:52 GMT 2022","Mon Aug 08 14:47:03 GMT 2022","11056","","tests.MortgagePaymentsGraphTest","","tests.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","shouldBeCorrectTimeline",""
"passed","Mon Aug 08 14:44:36 GMT 2022","Mon Aug 08 14:44:59 GMT 2022","23066","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","vkUrlTest","vkUrlTest",""
