"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 07 15:24:17 GMT 2022","Sun Aug 07 15:24:28 GMT 2022","11347","","tests.BanksOffersTest","","tests.BanksOffersTest","banksOffersCountCheck","banksOffersCountCheck",""
"passed","Sun Aug 07 15:22:36 GMT 2022","Sun Aug 07 15:22:57 GMT 2022","20496","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkTermValue","checkTermValue",""
"passed","Sun Aug 07 15:22:22 GMT 2022","Sun Aug 07 15:22:36 GMT 2022","14585","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","tgUrlTest","tgUrlTest",""
"broken","Sun Aug 07 15:21:36 GMT 2022","Sun Aug 07 15:21:51 GMT 2022","15454","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","tariffPDFAccessTest","tariffPDFAccessTest",""
"passed","Sun Aug 07 15:23:17 GMT 2022","Sun Aug 07 15:23:39 GMT 2022","21479","","tests.orderVirtualCardTest","","tests.orderVirtualCardTest","isSmsCodeReadyToInput","isSmsCodeReadyToInput",""
"passed","Sun Aug 07 15:21:51 GMT 2022","Sun Aug 07 15:22:09 GMT 2022","17506","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","okUrlTest","okUrlTest",""
"failed","Sun Aug 07 15:23:39 GMT 2022","Sun Aug 07 15:24:17 GMT 2022","38089","","tests.ATMCheckoutTest","","tests.ATMCheckoutTest","atbNotEmptyCheck","atbNotEmptyCheck",""
"failed","Sun Aug 07 15:24:28 GMT 2022","Sun Aug 07 15:24:41 GMT 2022","12559","","tests.MortgagePaymentsGraphTest","","tests.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","shouldBeCorrectTimeline",""
"passed","Sun Aug 07 15:21:09 GMT 2022","Sun Aug 07 15:21:36 GMT 2022","26702","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","currencyTransferAccessTest","currencyTransferAccessTest",""
"failed","Sun Aug 07 15:22:09 GMT 2022","Sun Aug 07 15:22:22 GMT 2022","12645","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","vkUrlTest","vkUrlTest",""
"passed","Sun Aug 07 15:22:57 GMT 2022","Sun Aug 07 15:23:17 GMT 2022","20412","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkDepositValue","checkDepositValue",""
