"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 11 18:20:59 GMT 2022","Thu Aug 11 18:20:59 GMT 2022","0","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Thu Aug 11 18:18:59 GMT 2022","Thu Aug 11 18:19:15 GMT 2022","15424","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"passed","Thu Aug 11 18:18:11 GMT 2022","Thu Aug 11 18:18:24 GMT 2022","12857","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"passed","Thu Aug 11 18:21:52 GMT 2022","Thu Aug 11 18:22:05 GMT 2022","12891","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Thu Aug 11 18:21:29 GMT 2022","Thu Aug 11 18:21:41 GMT 2022","11419","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Thu Aug 11 18:18:24 GMT 2022","Thu Aug 11 18:18:34 GMT 2022","10448","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
"passed","Thu Aug 11 18:19:46 GMT 2022","Thu Aug 11 18:20:41 GMT 2022","54495","","Проверка списка банкоматов в Москве","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"skipped","Thu Aug 11 18:18:59 GMT 2022","Thu Aug 11 18:18:59 GMT 2022","0","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"passed","Thu Aug 11 18:21:41 GMT 2022","Thu Aug 11 18:21:52 GMT 2022","10983","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Thu Aug 11 18:20:59 GMT 2022","Thu Aug 11 18:21:13 GMT 2022","13834","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"passed","Thu Aug 11 18:17:42 GMT 2022","Thu Aug 11 18:17:57 GMT 2022","15741","","Проверка акций от банка","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Thu Aug 11 18:17:58 GMT 2022","Thu Aug 11 18:18:11 GMT 2022","13368","","Проверка сроков ипотеки","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"passed","Thu Aug 11 18:18:34 GMT 2022","Thu Aug 11 18:18:45 GMT 2022","10602","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"passed","Thu Aug 11 18:19:31 GMT 2022","Thu Aug 11 18:19:46 GMT 2022","15197","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Thu Aug 11 18:18:45 GMT 2022","Thu Aug 11 18:18:59 GMT 2022","14383","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Thu Aug 11 18:19:15 GMT 2022","Thu Aug 11 18:19:31 GMT 2022","16307","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"passed","Thu Aug 11 18:21:13 GMT 2022","Thu Aug 11 18:21:29 GMT 2022","16135","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Thu Aug 11 18:20:41 GMT 2022","Thu Aug 11 18:20:59 GMT 2022","18514","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
