"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 17:10:33 GMT 2022","Wed Aug 10 17:10:53 GMT 2022","19677","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Wed Aug 10 17:10:00 GMT 2022","Wed Aug 10 17:10:19 GMT 2022","18651","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"skipped","Wed Aug 10 17:12:05 GMT 2022","Wed Aug 10 17:12:05 GMT 2022","0","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Wed Aug 10 17:12:20 GMT 2022","Wed Aug 10 17:12:35 GMT 2022","14303","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Wed Aug 10 17:08:42 GMT 2022","Wed Aug 10 17:08:58 GMT 2022","16956","","Проверка акций от банка","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Wed Aug 10 17:10:53 GMT 2022","Wed Aug 10 17:11:46 GMT 2022","53388","","Проверка списка банкоматов в Москве","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"passed","Wed Aug 10 17:08:59 GMT 2022","Wed Aug 10 17:09:11 GMT 2022","12757","","Проверка сроков ипотеки","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"passed","Wed Aug 10 17:09:11 GMT 2022","Wed Aug 10 17:09:22 GMT 2022","10614","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"skipped","Wed Aug 10 17:10:00 GMT 2022","Wed Aug 10 17:10:00 GMT 2022","0","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"passed","Wed Aug 10 17:12:55 GMT 2022","Wed Aug 10 17:13:10 GMT 2022","15137","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Wed Aug 10 17:12:05 GMT 2022","Wed Aug 10 17:12:20 GMT 2022","15040","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"passed","Wed Aug 10 17:10:19 GMT 2022","Wed Aug 10 17:10:33 GMT 2022","14199","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"passed","Wed Aug 10 17:11:46 GMT 2022","Wed Aug 10 17:12:05 GMT 2022","18751","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"passed","Wed Aug 10 17:09:40 GMT 2022","Wed Aug 10 17:10:00 GMT 2022","20060","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Wed Aug 10 17:12:35 GMT 2022","Wed Aug 10 17:12:47 GMT 2022","12165","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Wed Aug 10 17:09:31 GMT 2022","Wed Aug 10 17:09:40 GMT 2022","9180","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"passed","Wed Aug 10 17:12:47 GMT 2022","Wed Aug 10 17:12:55 GMT 2022","8070","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Wed Aug 10 17:09:22 GMT 2022","Wed Aug 10 17:09:31 GMT 2022","8961","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
