"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 10 21:50:11 GMT 2022","Wed Aug 10 21:50:11 GMT 2022","0","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Wed Aug 10 21:49:54 GMT 2022","Wed Aug 10 21:50:11 GMT 2022","17639","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"passed","Wed Aug 10 21:47:25 GMT 2022","Wed Aug 10 21:47:41 GMT 2022","15656","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
"passed","Wed Aug 10 21:46:54 GMT 2022","Wed Aug 10 21:47:10 GMT 2022","15234","","Проверка сроков ипотеки","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"passed","Wed Aug 10 21:51:22 GMT 2022","Wed Aug 10 21:51:37 GMT 2022","15380","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Wed Aug 10 21:47:41 GMT 2022","Wed Aug 10 21:47:51 GMT 2022","9845","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"skipped","Wed Aug 10 21:48:06 GMT 2022","Wed Aug 10 21:48:06 GMT 2022","0","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"passed","Wed Aug 10 21:48:21 GMT 2022","Wed Aug 10 21:48:42 GMT 2022","20068","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"passed","Wed Aug 10 21:51:37 GMT 2022","Wed Aug 10 21:52:44 GMT 2022","66617","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Wed Aug 10 21:50:25 GMT 2022","Wed Aug 10 21:51:22 GMT 2022","57272","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Wed Aug 10 21:48:06 GMT 2022","Wed Aug 10 21:48:21 GMT 2022","15558","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"passed","Wed Aug 10 21:48:42 GMT 2022","Wed Aug 10 21:48:57 GMT 2022","15800","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Wed Aug 10 21:48:57 GMT 2022","Wed Aug 10 21:49:54 GMT 2022","56333","","Проверка списка банкоматов в Москве","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"passed","Wed Aug 10 21:47:51 GMT 2022","Wed Aug 10 21:48:06 GMT 2022","15227","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Wed Aug 10 21:46:38 GMT 2022","Wed Aug 10 21:46:54 GMT 2022","16238","","Проверка акций от банка","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Wed Aug 10 21:52:44 GMT 2022","Wed Aug 10 21:52:54 GMT 2022","10245","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Wed Aug 10 21:50:11 GMT 2022","Wed Aug 10 21:50:25 GMT 2022","13238","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"passed","Wed Aug 10 21:47:10 GMT 2022","Wed Aug 10 21:47:25 GMT 2022","15461","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
