"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 17:14:04 GMT 2022","Wed Aug 10 17:14:57 GMT 2022","53795","","Проверка списка банкоматов в Москве","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"passed","Wed Aug 10 17:14:57 GMT 2022","Wed Aug 10 17:15:24 GMT 2022","26968","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"passed","Wed Aug 10 17:12:39 GMT 2022","Wed Aug 10 17:12:57 GMT 2022","17575","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Wed Aug 10 17:13:20 GMT 2022","Wed Aug 10 17:13:41 GMT 2022","20739","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"passed","Wed Aug 10 17:15:46 GMT 2022","Wed Aug 10 17:16:09 GMT 2022","22808","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Wed Aug 10 17:11:50 GMT 2022","Wed Aug 10 17:12:09 GMT 2022","19232","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"passed","Wed Aug 10 17:12:57 GMT 2022","Wed Aug 10 17:13:20 GMT 2022","22885","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"skipped","Wed Aug 10 17:12:57 GMT 2022","Wed Aug 10 17:12:57 GMT 2022","0","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"passed","Wed Aug 10 17:13:41 GMT 2022","Wed Aug 10 17:14:04 GMT 2022","22922","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Wed Aug 10 17:16:09 GMT 2022","Wed Aug 10 17:16:29 GMT 2022","20099","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Wed Aug 10 17:16:48 GMT 2022","Wed Aug 10 17:17:00 GMT 2022","12273","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Wed Aug 10 17:12:27 GMT 2022","Wed Aug 10 17:12:39 GMT 2022","11897","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"passed","Wed Aug 10 17:16:29 GMT 2022","Wed Aug 10 17:16:48 GMT 2022","18836","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Wed Aug 10 17:12:09 GMT 2022","Wed Aug 10 17:12:27 GMT 2022","18647","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
"skipped","Wed Aug 10 17:15:24 GMT 2022","Wed Aug 10 17:15:24 GMT 2022","0","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Wed Aug 10 17:11:10 GMT 2022","Wed Aug 10 17:11:32 GMT 2022","22410","","Проверка акций от банка","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Wed Aug 10 17:11:33 GMT 2022","Wed Aug 10 17:11:49 GMT 2022","16861","","Проверка сроков ипотеки","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"passed","Wed Aug 10 17:15:24 GMT 2022","Wed Aug 10 17:15:46 GMT 2022","21774","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
