"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 09 20:09:19 GMT 2022","Tue Aug 09 20:09:35 GMT 2022","16385","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"passed","Tue Aug 09 20:10:56 GMT 2022","Tue Aug 09 20:11:49 GMT 2022","53653","","tests.officesAndBanks.ATMCheckoutTest","","tests.officesAndBanks.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"passed","Tue Aug 09 20:07:56 GMT 2022","Tue Aug 09 20:08:11 GMT 2022","14799","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
"passed","Tue Aug 09 20:07:37 GMT 2022","Tue Aug 09 20:07:56 GMT 2022","18791","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"passed","Tue Aug 09 20:08:37 GMT 2022","Tue Aug 09 20:08:54 GMT 2022","16457","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"passed","Tue Aug 09 20:08:22 GMT 2022","Tue Aug 09 20:08:37 GMT 2022","14947","","tests.onlineBank.OnlineBankTermsAndPolicyTest","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"passed","Tue Aug 09 20:10:39 GMT 2022","Tue Aug 09 20:10:56 GMT 2022","16764","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"passed","Tue Aug 09 20:12:02 GMT 2022","Tue Aug 09 20:12:18 GMT 2022","16333","","tests.deposit.DepositPositiveValuesTest","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"passed","Tue Aug 09 20:07:03 GMT 2022","Tue Aug 09 20:07:19 GMT 2022","15888","","tests.offers.BanksOffersTest","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"passed","Tue Aug 09 20:10:16 GMT 2022","Tue Aug 09 20:10:39 GMT 2022","23098","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"passed","Tue Aug 09 20:07:19 GMT 2022","Tue Aug 09 20:07:37 GMT 2022","18093","","tests.mortgage.MortgagePaymentsGraphTest","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"skipped","Tue Aug 09 20:10:02 GMT 2022","Tue Aug 09 20:10:02 GMT 2022","0","","tests.smallBusiness.AccountDocsAccessTest","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"passed","Tue Aug 09 20:08:11 GMT 2022","Tue Aug 09 20:08:22 GMT 2022","11523","","tests.onlineBank.OnlineBankLoginTest","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"passed","Tue Aug 09 20:09:35 GMT 2022","Tue Aug 09 20:10:02 GMT 2022","27165","","tests.smallBusiness.AccountDocsAccessTest","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"passed","Tue Aug 09 20:11:49 GMT 2022","Tue Aug 09 20:12:02 GMT 2022","12459","","tests.deposit.DepositPositiveValuesTest","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
"passed","Tue Aug 09 20:10:02 GMT 2022","Tue Aug 09 20:10:16 GMT 2022","13537","","tests.smallBusiness.SmallBusinessSocialsTest","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"passed","Tue Aug 09 20:08:54 GMT 2022","Tue Aug 09 20:09:19 GMT 2022","24853","","tests.cards.VirtualCardOrderTest","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
