"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 01:47:16 GMT 2023","Fri Aug 04 01:49:37 GMT 2023","141525","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","currencyTransferAccessTest","Документы о поручениях на перевод",""
"skipped","Fri Aug 04 01:49:37 GMT 2023","Fri Aug 04 01:49:37 GMT 2023","0","","Проверка документа 'Правила оформления Поручений на перевод иностранной валюты'","","tests.smallBusiness.AccountDocsAccessTest","tariffPDFAccessTest","Документы об изменении тарифов",""
"broken","Fri Aug 04 02:03:46 GMT 2023","Fri Aug 04 02:06:08 GMT 2023","141528","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","isSmsCodeReadyToInput","Подтверждение смс кода",""
"broken","Fri Aug 04 01:37:50 GMT 2023","Fri Aug 04 01:40:11 GMT 2023","141603","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","emptyPhoneNumberInput","Пустой телефон",""
"broken","Fri Aug 04 02:06:08 GMT 2023","Fri Aug 04 02:08:29 GMT 2023","141480","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","emptyPhoneRequest","Не вводим номер и просто жмем 'оформить карту'",""
"broken","Fri Aug 04 01:54:20 GMT 2023","Fri Aug 04 01:56:42 GMT 2023","141503","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","tgUrlTest","Телеграмм",""
"broken","Fri Aug 04 01:56:42 GMT 2023","Fri Aug 04 01:59:03 GMT 2023","141446","","Проверка сроков ипотеки","","tests.mortgage.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","Проверка совпадения сроков ипотеки с годами в таблице платежей",""
"broken","Fri Aug 04 01:44:54 GMT 2023","Fri Aug 04 01:47:16 GMT 2023","141468","","Проверка списка банкоматов в Москве","","tests.officesAndAtms.ATMCheckoutTest","atbNotEmptyCheck","Проверяем наличие доступных банкоматов",""
"broken","Fri Aug 04 01:51:59 GMT 2023","Fri Aug 04 01:54:20 GMT 2023","141370","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","vkUrlTest","вКонтакте",""
"broken","Fri Aug 04 01:59:03 GMT 2023","Fri Aug 04 02:01:25 GMT 2023","141583","","Проверка акций от банка","","tests.offers.BanksOffersTest","banksOffersCountCheck","Проверка о совпадении кол-ва акции у чекбокса 'Акции' и кол-во карточек с предложениями",""
"broken","Fri Aug 04 01:40:11 GMT 2023","Fri Aug 04 01:42:33 GMT 2023","141420","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","incorrectPhoneNumberInput","Неправильный номер телефона",""
"skipped","Fri Aug 04 01:37:50 GMT 2023","Fri Aug 04 01:37:50 GMT 2023","0","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedPolicyPDF","Политика кофиденциальности",""
"broken","Fri Aug 04 01:49:38 GMT 2023","Fri Aug 04 01:51:59 GMT 2023","141338","","Проверка ссылок на соцсети","","tests.smallBusiness.SmallBusinessSocialsTest","okUrlTest","Одноклассники",""
"broken","Fri Aug 04 02:10:51 GMT 2023","Fri Aug 04 02:13:18 GMT 2023","147293","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkDepositValue","Проверка допустимых значений суммы вклада",""
"broken","Fri Aug 04 01:42:33 GMT 2023","Fri Aug 04 01:44:54 GMT 2023","141458","","Проверка логина в онлайн банк как частное лицо","","tests.onlineBank.OnlineBankLoginTest","correctPhoneNumberInput","Подтверждаем код",""
"broken","Fri Aug 04 01:35:25 GMT 2023","Fri Aug 04 01:37:50 GMT 2023","144312","","Проверка файлов по ссылкам 'условия доступа' и 'политика конфиденциальности'","","tests.onlineBank.OnlineBankTermsAndPolicyTest","expectedTermsPDF","Условия доступа",""
"broken","Fri Aug 04 02:01:25 GMT 2023","Fri Aug 04 02:03:46 GMT 2023","141425","","Оформление виртуальной карты","","tests.cards.VirtualCardOrderTest","incorrectPhoneRequest","Вводим не полный номер телефона",""
"broken","Fri Aug 04 02:08:29 GMT 2023","Fri Aug 04 02:10:51 GMT 2023","141380","","Не выходим за допустимые значения депозита и срока","","tests.deposit.DepositPositiveValuesTest","checkTermValue","Проверка допустимых значений сроков вклада",""
